"","surgery","release_speed","arm_angle","spin_axis","release_spin_rate","pitch_type","release_pos_z"
"1","0",89.7,40.5,105,2740,7,5.91
"2","0",95.6,46.6,203,2312,6,6.13
"3","0",97.7,40.4,208,2450,3,6.02
"4","0",98.1,35.6,212,2366,6,5.76
"5","0",97.4,44.3,206,2517,3,6.11
"6","0",89.4,43.7,117,2799,7,5.98
"7","0",97.3,42.6,206,2455,3,5.96
"8","0",88,43.8,215,1418,1,5.9
"9","0",91,42.8,215,1890,1,5.85
"10","0",96,45.1,207,2451,3,6.02
"11","0",89.5,43.6,217,1442,1,5.91
"12","0",83.1,43.4,38,2721,5,6.02
"13","0",95.6,43.9,206,2306,3,6.06
"14","0",95.6,44.2,204,2408,3,6.07
"15","0",82.8,45.4,39,2748,5,6.07
"16","0",96.5,42.5,210,2481,3,6.1
"17","0",84.5,41.9,37,2779,5,6.05
"18","0",81.2,46.8,26,2592,5,6.05
"19","0",84.3,44.3,40,2890,5,6.04
"20","0",96,42.7,208,2368,3,6.06
"21","0",83.4,44,36,2749,5,5.97
"22","0",96.5,40.4,211,2401,3,6.04
"23","0",84.7,44.4,43,2808,5,6.07
"24","0",84.8,42.3,43,2873,5,6.08
"25","0",96.9,40.8,213,2343,3,6
"26","0",96.8,43,209,2450,3,6.06
"27","0",82.7,46.9,39,2722,5,6.13
"28","0",81.5,46.9,30,2789,5,6.11
"29","0",98,39.3,212,2483,3,6.04
"30","0",91.7,41.5,218,1525,1,5.89
"31","0",97.4,41.4,210,2428,3,6.03
"32","0",97.3,43.3,212,2359,3,6.03
"33","0",89.5,41.3,143,2680,7,5.97
"34","0",89.5,44.1,136,2503,7,6.07
"35","0",96.1,46.2,206,2365,3,6.13
"36","0",96,44.2,208,2397,3,6.11
"37","0",97.2,39.5,212,2286,6,6.01
"38","0",97.7,41.6,211,2454,3,6
"39","0",94.5,41.9,211,2220,6,6.05
"40","0",83.6,45.1,32,2763,5,6.08
"41","0",89.5,40.7,216,1533,1,5.93
"42","0",96.4,43.9,208,2427,3,6.08
"43","0",96.9,41.8,209,2430,3,6.11
"44","0",96.3,43.3,207,2373,3,6.04
"45","0",94.7,56,212,2183,3,6.29
"46","0",94.6,42.9,210,2298,6,6.01
"47","0",95.3,39.8,212,2261,6,5.97
"48","0",94.8,52.9,209,2240,3,6.21
"49","0",88.2,39.5,158,2674,7,6.03
"50","0",80.4,60.7,42,2713,2,6.39
"51","0",93.6,60,205,2343,3,6.28
"52","0",95,45.9,208,2315,3,6.2
"53","0",94.2,43.8,204,2229,3,6.17
"54","0",82.1,54.2,215,1978,1,6.19
"55","0",94.5,57.7,201,2251,3,6.49
"56","0",95,43.3,214,2340,3,6.15
"57","0",95.6,54.2,206,2349,3,6.3
"58","0",95.4,43,206,2374,3,6.17
"59","0",81.4,45.9,30,2787,5,6.28
"60","0",81.5,50.8,32,2735,5,6.33
"61","0",95.5,47,210,2332,3,6.17
"62","0",93.7,63.6,195,2315,3,6.37
"63","0",96.9,40.4,214,2351,3,6.13
"64","0",81.8,53.7,52,2586,7,6.22
"65","0",83.3,46.7,41,2884,5,6.13
"66","0",95.6,45.1,211,2410,3,6.26
"67","0",92.6,32.7,219,2121,6,5.13
"68","0",95.9,55.7,204,2298,3,6.34
"69","0",87.6,36.7,185,2058,7,5.04
"70","0",89.3,43.5,193,2568,7,6.11
"71","0",95.7,52.7,205,2341,3,6.3
"72","0",91,43.5,215,2194,6,5.13
"73","0",85.3,50.1,221,2126,1,6.05
"74","0",95.6,45,205,2447,3,6.25
"75","0",94.5,45.5,210,2376,3,6.19
"76","0",95.5,55.5,207,2421,3,6.3
"77","0",92.3,35.5,220,2168,6,5.07
"78","0",80.8,48.1,28,2673,5,6.15
"79","0",86.6,40.1,234,1816,1,5.13
"80","0",95.7,32.4,216,2331,3,6.22
"81","0",83.9,48.9,49,2674,7,6.26
"82","0",89.6,32.3,188,2355,7,6.21
"83","0",95,60.6,198,2456,3,6.43
"84","0",91.5,39.4,214,2130,3,5.18
"85","0",96.1,42.9,211,2349,3,6.21
"86","0",92.5,38.4,218,2100,6,5.14
"87","0",88.2,46.6,213,1303,1,6.12
"88","0",95.6,33.2,215,2412,3,6.27
"89","0",93.5,50.5,150,2623,3,6.04
"90","0",81.7,61.8,39,2832,2,6.43
"91","0",94.9,51.1,205,2271,3,6.28
"92","0",89.1,31,185,2347,7,6.06
"93","0",86.8,36.8,234,1623,1,5.15
"94","0",95.3,59.4,203,2373,3,6.41
"95","0",88.8,46.2,217,1904,1,5.69
"96","0",92.2,34.3,219,2046,6,5.18
"97","0",87.6,-23.6,94,2120,6,3
"98","0",79.5,29.2,256,2342,1,5.83
"99","0",87.4,50.5,168,2504,7,6.03
"100","0",94.1,49.9,206,2334,3,6.27
"101","0",95.4,62.2,206,2349,3,6.43
"102","0",87.7,-23.3,88,2192,6,2.98
"103","0",82.9,31.9,319,2504,2,5.64
"104","0",95.8,47.7,202,2496,3,5.82
"105","0",93.4,52.4,156,2644,3,6.02
"106","0",95.1,45.2,208,2329,3,6.19
"107","0",82.7,29.9,245,2214,1,5.86
"108","0",92.4,32.4,223,2251,6,5.14
"109","0",95.3,41.5,216,2323,3,5.98
"110","0",89.4,33.2,170,2412,7,6.2
"111","0",95.6,49.2,209,2513,3,5.78
"112","0",92.9,17.7,122,2299,6,5.24
"113","0",91.3,37.5,218,2157,3,5.17
"114","0",95.5,49.7,216,2369,3,6.19
"115","0",87.5,-26,87,2192,6,2.95
"116","0",92.3,49.1,151,2642,3,5.99
"117","0",95.4,49.8,209,2301,3,6.14
"118","0",81,48.9,28,2615,5,6.22
"119","0",95.6,48,202,2606,3,5.8
"120","0",91.3,38.2,216,2007,3,5.26
"121","0",79.7,50.6,36,2680,5,6.44
"122","0",87.4,-23.9,87,2199,6,2.92
"123","0",92.8,20.5,124,2408,6,5.28
"124","0",95.3,35,214,2325,3,6.29
"125","0",95,43.8,212,2074,3,6.03
"126","0",91.7,49.1,154,2575,3,6.01
"127","0",84.3,50.5,221,2101,1,6.26
"128","0",95.4,50.2,212,2362,3,6.23
"129","0",95.2,43.4,213,2037,3,5.97
"130","0",95.8,45.2,208,2263,3,6.29
"131","0",87.2,48,160,2463,7,5.98
"132","0",86.4,40.8,229,1654,1,5.19
"133","0",88.4,-25.3,88,2213,6,2.79
"134","0",89,44,224,1961,1,5.65
"135","0",95.3,28,134,2433,3,5.55
"136","0",95.7,35.7,215,2349,3,6.3
"137","0",87.5,31.3,284,2411,7,5.6
"138","0",87.8,42.6,137,2601,7,6.18
"139","0",95.6,52.9,209,2404,3,6.33
"140","0",95.8,43.9,216,2116,3,5.99
"141","0",90,-25.8,86,2154,6,2.82
"142","0",95,33.8,213,2268,3,6.34
"143","0",87.4,50.8,155,2493,7,6.01
"144","0",86,34.8,237,1576,1,5.1
"145","0",95.5,51.4,203,2468,3,5.8
"146","0",95.8,44.5,205,2585,3,5.81
"147","0",95.5,43.1,212,2175,3,5.96
"148","0",87.1,52.2,165,2391,7,6.11
"149","0",91.5,39.3,218,2081,6,5.2
"150","0",81.2,35.3,310,2381,2,5.81
"151","0",95.6,44,212,2488,3,6.18
"152","0",89.9,36.1,177,2391,7,6.36
"153","0",96.1,55.1,207,2440,3,6.32
"154","0",89.5,-25.2,96,2214,6,2.95
"155","0",88.9,45.2,225,1923,1,5.64
"156","0",95.5,42.7,214,2054,3,5.97
"157","0",95.6,29.4,133,2401,3,5.68
"158","0",91.3,48.9,148,2701,3,5.95
"159","0",90.9,36.6,217,2253,6,5.21
"160","0",84.6,-21.6,125,2156,7,2.96
"161","0",88,45.4,134,2443,7,6.27
"162","0",89.3,35.5,149,2412,7,6.37
"163","0",92.1,49.9,151,2658,3,5.96
"164","0",96,34.6,215,2407,3,6.26
"165","0",98.2,48.9,225,2250,6,6.62
"166","0",87.1,27.7,301,2192,7,5.63
"167","0",81,48.2,30,2785,5,6.32
"168","0",87.7,51,217,1939,1,5.7
"169","0",81.6,60.5,39,2872,2,6.5
"170","0",94.8,42.8,215,2072,3,6.05
"171","0",89.6,-25,85,2118,6,2.86
"172","0",89.9,35.6,220,2087,6,5.19
"173","0",88.8,36.2,170,2352,7,6.23
"174","0",95.4,44.5,212,2206,3,6.03
"175","0",83.8,-21.8,135,2125,7,3
"176","0",95.2,47.3,204,2533,3,5.79
"177","0",92,47.3,147,2660,3,6.01
"178","0",88.6,44.9,137,2489,7,6.22
"179","0",85.6,47,30,2773,8,6.47
"180","0",87.4,29.6,307,2270,7,5.65
"181","0",95.5,56.4,204,2238,3,6.38
"182","0",91.7,38.8,217,2235,6,5.17
"183","0",90,-24,88,2136,6,3.05
"184","0",97.8,48,221,2177,6,6.59
"185","0",93.8,40.2,208,2221,3,6.25
"186","0",87.2,26.1,295,2229,7,5.51
"187","0",88.5,45.9,218,1984,1,5.74
"188","0",89.8,34.4,182,2338,7,6.26
"189","0",82.5,37.6,79,1980,8,5.85
"190","0",91.1,47.9,148,2631,3,6.03
"191","0",89.7,35.4,221,2028,6,5.12
"192","0",88.2,32.3,170,2266,7,6.12
"193","0",84.9,51.9,219,2104,1,6.17
"194","0",88.9,-24.1,89,2184,6,3
"195","0",96.5,42.9,216,2393,3,5.96
"196","0",96,51.4,223,2108,6,6.68
"197","0",94.8,46.2,208,2271,3,6.27
"198","0",82,32.1,323,2339,2,5.71
"199","0",85.1,33.7,235,1658,1,5.12
"200","0",91,49.3,149,2526,3,5.95
"201","0",89.1,45.5,220,1929,1,5.7
"202","0",95.5,47.7,223,2281,6,6.64
"203","0",94.6,46.1,209,2302,3,6.28
